,answer
128,"某一本留校工作。
周一到周五：
7:30-7:40挣扎起床
7:40洗头洗脸刷牙。
7:55出发，步行或者汽车五分钟到单位（就是这么近）
8:00准备工作。忙的时候忙死，闲的时候看美剧或者刷书。
11:40吃饭，刷公众号，或者看没看完的电子书。
午觉夏季到14:50，冬季到14:20。
洗脸刷牙15:00上班，冬季14:30。
15:00上班到17:00。
17:00健身到17:50。
17:50洗澡到18:00。
18:00吃饭。
18:20回家，跳伞 dota2 或者单机。
23:00洗澡刷牙看斗鱼。
12点或者凌晨1点睡觉。
周末：
晚上去市中心逛商场吃吃吃买东西逛酒吧or宅在家打游戏，一般凌晨三点睡，第二天早上12点起。
吃饭，起的早9点之前能赶上大部队会去爬山，否则宅在家里玩游戏。玩到次日凌晨三点。
有时候周五会开车去异地找朋友玩（本地朋友很少）
寒暑假：
拿出一个月工资，旅游20天左右，其余时间回家乡宅着。"
129,机关狗，上班下班吃饭睡觉刷页面…在无休止的会议和头皮屑般的文件里机械运转，在是是非非、闲言碎语、明争暗斗中麻木混日
130,"周末宿舍没有人，早早地关灯上床，在电脑里找到一部没看过的《三十九级台阶》。看完了十点左右，躺着就睡着了，一夜无梦，睡的很香。
第二天六点多醒来，起来收拾好床，下床洗漱。背上这一天要看的书，拿上电脑，去食堂吃了一碗方便面卧鸡蛋。
吃完去教学楼五楼最里面的自习室。到了自习室开窗擦桌子，打开电脑下载电影和要看的课程，然后开始背单词。背了三个小时单词，又背了二十一个新闻热词。拿上手机去学校外面711买午饭。拿了一盒常吃的酱油炒饭，一个菠萝包和一款新出的抹茶蜜豆面包，又买了一袋牛奶。
回自习室边吃饭边看刚下载的《弗兰兹》，饭吃完看了一半。暂停电影看了一篇法律翻译，做了一篇阅读，看了一章语法。继续看完另一半《弗兰兹》，看到快结束时吃了抹茶面包。
收拾回宿舍觉得没吃饱，买了一份凉皮，卖凉皮的大姐问我能不能掺着买，因为凉皮不多了。我说好然后要了半份冷面，多麻油少辣椒。回宿舍发现没有几根凉皮全是冷面。
吃完凉皮洗了内裤和袜子，拿上东西去洗澡。洗完澡回来吃了一个芒果，很甜很香。然后刷完牙，在镜子前试了新衣服，臭美了一会开始看视频课。看了一节阅读，一节翻译，一节写作，一节百科。
现在正在床上看今天下的另一部《时间尽头的房租》。明天还是六点多起然后重复这一天做的事情，只不过明天不看电影，早起吃菠萝包。"
131,"10点起床开电脑
10点喷知乎
11点喷网易
12点吃饭
1点喷小米
2点喷华为
3点喷腾讯
4点喷腾讯
5点喷腾讯
6点吃饭
7点睡觉"
132,"6：00起床洗漱
6:30至8：00上班路上
8.00吃早点
8.30打卡上班
12.00-1.00吃饭
1.00-5.00工作
5.30-7.00回家路上
7.00-9.00瘫着
9.00洗漱睡觉"
133,"逛淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝淘宝
或者
写实验报告写实验报告写实验报告写实验报告写实验报告写实验报告写实验报告写实验报告"
134,睡觉，玩手机，逛公园！
135,"自从有了我家狗，我的一天......都给了狗了……
早上起来，第一时间带狗到天台尿尿，让它玩一会儿飞盘发泄一下精力。即使在它眼睛发炎戴了伊丽莎白圈也一样。
看它气喘吁吁口水直流时，就催它拉屎，然后捡屎，再把它拉的粑粑跟它一起带回家。
洗洗刷刷后就去上班，上班期间时不时看看狗大爷在家的状态。
下班回家后，开门放下包就带它上去尿尿拉屎，玩激光笔，在天台上跑十几圈后下来。
我自己弄点吃的填饱肚子。
九点钟跟邻居们一起出去遛狗，遛到十点多。
回来后洗洗刷刷就睡啦。
周末呢？当然是带狗出去玩啦……"
136,"现在离考研两周不到。
7:50左右起床
8:30吃完饭
9:00来杯via
9:10进入学习状态
12:10开始耍手机神游逛淘宝听音乐看MV
12:40吃午饭
13:10开心的话学习一会儿不开心就逛知乎
14:00睡觉
15:00学习
16:00Keep来20分钟的HIIT
16:50进入学习状态
后面懒得写了，就是吃学睡，跟同学微信侃大山或者是帮同学解题
噢，是23:45左右睡
并没有起早贪黑，本身就不是耗的起生命的人。五个月吃睡学活活把我的身体和心灵都养成了一个胖纸。
我真的只想体验这一次。"
137,"咋会有这么无聊的问题捏.
六点二十分恋恋不舍的从床上起来， 穿衣刷牙洗脸再自己简单的煮个早餐带去上班的地方吃 （在家没时间吃了）！七点前上班刷卡，然后吃早餐 ，吃完早餐打起精神干活，打扫卫生 。八点上课、九点早操、十点自由活动，十一点吃中餐 ！十二点半午睡至两点半起床（一般这个时候段刷知乎）！三点吃午点 ，三点半打起鸡血继续上课 ‍♀️四点之间打扫卫生，五点下班哈哈哈哈！
哈哈！ 回家该干的事！"
138,"对现状很不满意的我还真的没想好要怎么改变
目前在医院实习 不是医生不是护士 你可以叫我高级技工
早 07:30起床
有时候真的来不及吃早餐
08:00到科室 经常迟到（宿舍就在医院里）
12:00下班
吃午饭 浏览手机上好几大app
13:20左右睡午觉
14:00上班
17:00下班
下班一直到晚上九点之前 不定时吃下午饭
下班之后大多时间赖在床上 追剧 玩游戏
偶尔会出去和朋友逛街吃火锅
最近有晚上出去跑步 大概7:30出门 一个小时左右回来
经常晚睡 经常不学习 我也不知道自己在干些什么
好了。超级没营养的一天啊"
139,如图
140,"课想上就上朋友想约就约
偶尔酒吧嗨一下买买喜欢的东西
每天想想自己喜欢的人
时不时聊两句
日子大概就是
听戏画画弹琴写字读书看电影
来回循环
过的很随性 很舒服

画画的日子
7.30 按掉闹钟继续睡
10.30醒了想吃什么
12.00西西下课回来喊我起床吃饭
13.00开始画画
17.00出去看电影
20.00支起画架 一边画画一边想自己喜欢的男生 （期间不停的和飞哥聊美术聊广告）
3.00上床
4.00睡觉

读书的日子
7.30按掉闹钟继续睡
8.00起床
9.00看广告画分镜写剧本
12.00吃饭睡午觉
15.00练英语看广告
18.00看电影
21.00练书法
23.00看书（期间爱恨情仇一百万次）
1.00想想自己的人生 睡觉

弹琴的日子
7.30起床
9.00弹琴
12.00吃饭
14.00听戏
18.00吃饭
19.00散步，想想我喜欢的男生
20.00看书聊天
0.00睡觉"
141,"他的一天
已经下午一点半了，从昨晚三点多才睡下一直到现在，睡了10多个小时，他还不想起床。
肚子有点饿了，他还想再躺会。两眼定定的望着白色天花板，很久，都没有眨一下，只剩下空洞。
肚子开始咕咕的叫了，他才不情愿的起床，穿上拖鞋。径直走到冰箱那里，打开，咕嘟咕嘟喝了口三天前下班回来在前丰超市买的果汁。他嚼了下，纯粹为了体验果汁里那些许椰果的口感，尽管连塞牙缝都不够。环视冰箱，除了果汁，还有一瓶辣椒酱。他关了门。
回头巡视桌面，还有前天晚上没吃玩的饼干。虽然已打开，但为了不潮掉，被自己用保鲜袋再次套了起来。他把保鲜袋拆开，再打开里面的包装袋，尝了块，有点干。又把冰箱里那瓶有椰肉的果汁抱了出来，顺便去厨房拿了把不锈钢汤勺。
坐在电脑桌前。插电源，开机，输密码。用勺子在饼干盒子里鼓捣，试图把饼干弄碎点，这样可以边看电脑边用勺子挖着饼干吃，还不用担心饼干渣子飞得到处都是，对于有点轻微洁癖的他来说，这点尤其重要。尤其是小时候喜欢徒手撕着辣条吃，每吃玩一根，必用纸巾擦掉拇指跟食指上的油，完了再撕下一根接着吃，若没有纸巾，在衣角把油蹭掉也是必须的。
他不记得自己到底要查询什么了，也许只想随便看看。这里瞧瞧，那里逛逛。
他窝在凳子上，还不是特别舒服的凳子。凳子的后腰那块，是空的，即使你往后面靠着，由于那块是空的，也是极其不舒服的。坐累了，眼睛看累了，他就起来走走，随便去洗手间尿个尿。回来继续窝凳子上，有时把脚一起盘凳子上，不一会儿麻了，又放下去。
在网上，并没有实质性的内容，他只是打发无聊又空虚的时间罢了。
知道明天要早起上班，可他硬是磨到晚上11点多才去洗澡，吹完头都快1点了，躺床上，点开微信朋友圈，再点开微信订阅号，再打开微博，再打开知乎，直到自己的脑子迷糊，他才睡去。"
142,"大三老油条
被前面打游戏的人鼠标吵的不行来答题
早上7:30起，洗漱
8点刚刚好到教室
听课
十一点吃Brunch
自习
下午四点半吃晚饭
（不喜欢吵吵闹闹的食堂）
自习
晚上十一点回去
吃点东西
看心情看会儿书
一点左右睡觉
每天循环
我很喜欢这种淡定的感觉"
143,"大一……早上5:55闹铃开始响，困π_π不想起床，听到毛毛斜下铺叫我，随口答应一声想再睡一分钟，然后就听到毛毛用我教她的起床大法开始使劲搓手搓脸，好好笑突然就醒啦。看一眼手机，起床，叠被穿衣服，下床，开台灯，倒一杯水，喝水，去厕所，出去洗刷，大概回来以后6:10然后再收拾一下大概6:15出门去餐厅吃饭，早饭一般就是黑米粥，鸡蛋，一个包子。吃完饭大概6:45左右吧，开始去教室早自习，一般7:00稳定下来开始一天的生活，一上午上课，中午12:00放学前五分钟一定问一下旁边的毛毛中午吃啥，奔向老餐厅，吃饭12:30左右回到宿舍，随便收拾一下聊会天忙一下自己的事情一般就13:00左右啦，开始收拾上床睡觉。13:35闹钟开始响磨蹭一会开始起床呀13:55左右到教室，14:00开始上课18:00左右下课考虑回去吃啥，晚上18:50开始来教室晚自习，21:00左右回宿舍，然后在宿舍聊会天收拾一下东西开始跑步，22:00左右回来，玩一会手机，洗刷，22:30写会东西计划日记，23:00准备上床，一般聊会天看会手机23:30基本就睡啦嘿嘿
写东西记录下来自己的这一天感觉时间好少呀，加油⊙▽⊙"
144,"6:50分 起床 给十分钟慢慢上厕所
7:00分 吹头发 倒水 喝水
7:05分 擦脸 化点淡妆 （为了这一步省时间 我纹了眉）
7:15分 换衣服 （如果前一天没想好 需要十分钟 ：））
7:25分 出门 搭公车 上班
7:35分 红灯红灯红灯 平时20分钟的车程 工作日硬生生要45-50分钟
8:35分 到公司楼下 （下车要走一会 路上顺便买早餐）
8:45分 到公司吃早餐 （电梯要排队）
9:00分~12:00分上班 （做好工作 安排时间 合理刷微博知乎聊微信）
12:00：吃午餐~ （一天最幸福的 哈哈 大概11:30就开始讨论次啥了嘻嘻）
12:50分~13:30分 睡午觉
13:30分~17：30分 又是上班 同上 下午可能和大家聊得明星八卦 分享些段子
17:45分 到地铁站 （遵循上班公车 下班地铁的原则 因为早上的地铁 不要太吓人 宝宝害怕）
插播：每周五的下班后 都是和朋友出去吃饭聚会 唠嗑 自拍 哈哈哈
18:30 到家~ 我的舍友炒会做饭 嘻嘻 回家基本上葛优着玩手机 玩到可以吃饭~ 我洗碗
8:30分~10:00 洗澡洗头 敷面膜 吹头发 聊天
10:30分~11:30分 ：） 到床上 把腿90°靠墙贴 再打开到极限 我从小学舞蹈 柔韧性不错 可以全下 酸了再继续贴墙 反复循环 过程也是在玩手机
11:30之后 正常睡觉姿势 继续玩手机。。
几点睡着 一般看我和周公缘分了 哈哈哈哈哈
以上 又是上班时间打的~ 不是工作轻松 是实习要结束了 剩下几天 所以很闲 ho
刷了一天的超级丹了 我只关心 祖国什么时候统一啦！"
